"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"M579.89T13.55","-0.076997201","-0.064528912"," 0.054769572","-0.890913207"," 0.180344480"," 0.115649569","-0.138560576"," 0.166529260"," 0.039072422","-0.099747022"," 0.054537647"," 0.005692961"," 0.077472678"," 0.180787044"," 0.063444013"," 0.305232088","-0.041254599","-0.017573706","-0.017573706","-0.067475351"," 0.171092545"
"M589.43T1437.43","-0.55297098","-0.02490364"," 0.30991773"," 0.03557770","-0.51033734"," 0.17737131"," 0.21826378","-0.05590237"," 0.04064054","-0.61486729","-0.24173295","-0.01344183"," 0.03962281"," 0.33252703","-0.26874271","-0.04357783"," 0.23366002"," 0.34371775"," 0.34371775"," 0.38997128","-0.13851079"
"M592.89T17.56"," 0.15760261"," 0.16872342"," 0.22649297"," 0.17833701"," 0.10642840","-0.13956305","-0.45408737"," 0.02044964"," 0.18023131"," 0.05712907"," 0.03758273","-0.25360154"," 0.06244619"," 0.05863111"," 0.11139931"," 0.18944231","-0.73988511","-0.19527209","-0.19527209"," 0.21806531"," 0.20471986"
"M593.89T12.55","-0.037388457"," 0.019722398","-0.007500980","-0.473769778","-0.057732978","-0.152004951","-0.049292636","-0.228552299"," 0.135132758","-0.198827784"," 0.152650998"," 0.104676921","-0.112221976","-0.043861392"," 0.058414794","-0.009001761"," 0.264217191"," 0.027753215"," 0.027753215"," 0.083542138"," 0.496291363"
"M603.37T16.56"," 0.114057443"," 0.117588877"," 0.417492420","-0.142909160"," 0.214400390","-0.212382713","-0.019971777","-0.055458651"," 0.400623407"," 0.141830402"," 0.125269881"," 0.006514904","-0.089792241"," 0.082153905","-0.128292113","-0.166019717","-0.257664408","-0.496396687","-0.496396687"," 0.168508064"," 0.276844462"
"M604.89T12.55","-0.1102925486","-0.0136860168"," 0.3173055808","-0.0478158754"," 0.3318896759"," 0.0204716036"," 0.2813370022","-0.2873453578","-0.0087892588"," 0.3026552477"," 0.0887591526","-0.0804133333","-0.1557477263","-0.2436459570","-0.0067525135","-0.0001151576"," 0.0135608431","-0.3908915053","-0.3908915053"," 0.4168360164","-0.0364283667"
"M612.87T18.56"," 0.012113459"," 0.005679154"," 0.172272043","-0.223648546"," 0.140738125"," 0.268340361"," 0.083076697"," 0.016054539","-0.020107161"," 0.215910339","-0.015222943"," 0.004479107"," 0.176839020","-0.052935003","-0.115621127"," 0.208899913","-0.790119869","-0.013597254","-0.013597254","-0.264324038"," 0.204770438"
"M612.88T11.54","-0.02636483"," 0.18026176"," 0.09517993"," 0.11150259"," 0.18331932","-0.04469332"," 0.09224601","-0.28607886","-0.02981437"," 0.05954952","-0.14328699"," 0.03000421","-0.13572894","-0.31293144"," 0.09376850","-0.14665233"," 0.14351709","-0.33322483","-0.33322483"," 0.10394964"," 0.69870216"
"M618.85T19.56"," 0.048744191","-0.291352237"," 0.307723271","-0.064963387"," 0.006012036"," 0.048977252","-0.094698657"," 0.172823758","-0.057521198"," 0.156424592"," 0.303212746","-0.337688564","-0.015524100"," 0.327054048"," 0.035918400","-0.180574326","-0.740735935"," 0.103996227"," 0.103996227"," 0.173725059","-0.005549402"
"M624.87T18.56"," 0.36417575","-0.15161770","-0.12068404"," 0.03422872","-0.24592769"," 0.33205926","-0.50889382","-0.04155014","-0.27993677"," 0.19751833","-0.01036043"," 0.75451507","-0.23565454"," 0.08503941","-0.14011809"," 0.02191931","-0.31120057"," 0.16329648"," 0.16329648","-0.01879805","-0.05130698"
"M626.86T18.56","-0.005042573","-0.090794210"," 0.183586639"," 0.232603286"," 0.204073060"," 0.314018572","-0.359173761","-0.056498441"," 0.089737160"," 0.038821419","-0.155492044"," 0.116904624","-0.160996418"," 0.178487380"," 0.197331496","-0.011507211","-0.599585958","-0.174423269","-0.174423269"," 0.043874163"," 0.188499356"
"M631.47T1471.08","-0.152614641","-0.308350555"," 0.008049697"," 0.365933684"," 0.201277606"," 0.147517811"," 0.535550923","-0.158367472"," 0.096140009","-0.080580383","-0.663548348","-1.606621052"," 0.549070205"," 0.084795449"," 0.185373536"," 0.763503123","-1.468454525"," 0.329446307"," 0.329446307"," 0.542012837"," 0.300419481"
