"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M530.218T901.604","1903.1543","39487.65","108556.667","116481.239","147000","92985.446","105000","137000","180134.215","1509.4282","181839.103","301.88564","108216.9492","131000","94612.667","132686.191","123697.391","142000"
"M812.538T1253.346","24249.117","81771.399","99545.275","41197.952","68700","59027.318","61400","41800","37960.585","11133.278","39303.614","16771.6336","55497.2738","69600","67563.564","54445.107","57125.786","46800"
"M495.298T1036.333","3108.3069","141614.109","135255.078","77717.034","102000","58880.389","87900","28300","41769.5","621.66138","69761.11","621.66138","80532.315","63100","70780.1","52455.281","61529.43","33600"
"M367.15T410.425","23149.3148","39264.813","73062.191","150378.66","202000","51157.363","188000","26100","67136.915","21682.0108","28918.809","14097.3879","145910.3187","165000","177967.835","53419.755","86948.198","43400"
"M589.228T896.878","2019.5915","24321.582","49432.362","69535.283","59500","55760.024","62300","52800","83163.393","3383.002","102191.767","403.9183","45681.1605","49000","57040.066","63849.123","64742.988","96400"
"M617.489T1624.961","89331.7896","117002.527","178159.556","230807.574","247000","336486.533","262000","325000","322768.168","71725.8192","467331.438","137437.2228","246421.2727","365000","236456.361","280149.602","228825.193","276000"
"M535.409T1440.116","109958.9858","99747.134","110307.357","168446.347","147000","117830.612","156000","215000","273711.83","52800.0806","218933.963","48198.5045","131365.0613","166000","171975.474","191143.505","203617.327","165000"
"M673.432T1355.711","13628.2601","163104.37","174641.862","161917.57","159000","170442.84","157000","174000","150591.258","19517.9384","194914.761","31389.8695","145661.5323","119000","173137.062","195017.335","186224.144","202000"
"M817.317T940.819","14439.3851","44197.551","97452.08","157911.83","152000","153473.812","239000","160000","200632.057","30482.1778","149283.049","31295.8318","155674.9852","181000","183947.371","195643.671","217119.934","154000"
"M438.146T926.75","3205.8092","50703.909","69619.004","145821.692","97200","98395.849","134000","93700","104474.432","2844.2707","110000.288","6159.4053","87106.5401","82200","87350.213","69568.122","76117.177","109000"
"M535.375T1490.352","127001.4741","120584.546","172386.853","194845.03","176000","137076.318","177000","247000","231613.795","79513.8467","263495.049","67239.6344","156692.304","188000","205164.368","220938.216","227138.556","197000"
"M808.52T1220.972","8213.0399","120697.147","159858.192","50551.562","52500","63695.341","45200","30800","45389.747","10077.1133","46258.9","15597.0669","47163.1337","37200","46740.931","28625.011","58426.197","59300"
"M577.49T1591.335","135842.0042","152439.223","164729.178","216002.902","216000","279259.416","190000","270000","254996.071","102007.6504","309666.434","106120.8037","231100.4514","228000","226531.979","243198.698","211319.359","254000"
"M1059.419T884.787","810.8953","71001.183","205845.58","137583.518","223000","73948.295","98000","233000","251100.083","1271.8575","351432.379","2780.896","107488.4434","130000","89554.033","235989.816","181580.021","315000"
"M813.332T1056.081","3272.8688","11942.724","42455.745","85113.502","70900","44266.014","88200","67200","87189.783","503.12378","54107.162","2515.6189","55681.0671","90400","53796.629","50424.292","56288.423","60500"
"M869.334T919.017","13744.4729","53492.947","107737.704","165720.877","156000","108493.753","162000","152000","139916.306","12469.3783","117993.47","14597.4355","113498.765","132000","125126.982","116718.456","105782.951","117000"
"M449.347T1490.033","113243.658","110810.716","125642.701","149596.968","158000","113759.953","136000","253000","214091.118","104197.3027","244854.871","121515.8769","131822.7661","163000","133005.351","178415.271","123539.49","168000"
"M374.303T1319.161","67083.7649","103723.931","112107.063","48331.565","55600","55980.849","76000","37300","46823.164","27078.3991","17076.367","40727.625","56551.2584","48500","71007.28","28558.011","57545.575","27200"
"M504.265T1099.137","8042.4331","280340.786","278250.498","118054.691","86800","145850.339","91200","115000","101751.407","12353.5359","99608.191","3387.6853","114212.4009","125000","111202.276","95723.916","159371.254","95400"
"M479.188T913.185","760.3332","29252.107","50165.806","431684.869","134000","287562.593","375000","197000","303139.477","3816.3356","198149.805","1322.6863","303354.9733","296000","318825.538","252249.473","413214.6","189000"
"M291.195T1053.001","3826.4803","285157.375","352887.774","442613.04","247000","368403.096","366000","114000","183139.386","9053.3052","194649.973","14287.068","425410.4427","210000","415387.682","185197.346","252647.289","231000"
"M821.505T1179.269","664.13572","262457.535","244059.415","145096.405","143000","202588.397","159000","163000","159894.235","664.13572","191155.507","3320.6786","162897.8392","159000","176001.657","123427.283","154987.791","182000"
"M820.327T1006.792","1367.9568","22036.529","48770.183","125801.709","74100","70964.707","108000","79800","92224.196","1709.2317","64943.838","273.59136","55443.153","72200","72674.783","65417.338","63100.907","52600"
"M764.518T1295.888","66300.1355","170012.442","262870.922","115943.171","146000","106402.624","140000","142000","157640.652","16302.922","256218.372","26886.1738","145936.5132","111000","128460.303","111316.063","114860.009","112000"
"M471.313T1295.888","21542.8486","299762.258","166034.244","147749.417","136000","134672.789","106000","140000","115348.914","35012.7303","95587.757","42536.7744","103692.3171","95300","113762.252","148654.726","121606.998","99800"
"M534.402T1422.678","65285.8828","92021.557","143253.735","154960.032","140000","93524.218","132000","195000","188992.166","50417.317","248373.138","68297.3919","116439.2733","152000","126749.958","222648.424","141997.851","160000"
"M765.518T1313.696","53331.2503","177554.745","185700.313","132439.83","126000","151163.635","125000","132000","131971.857","33497.9305","137101.674","60358.0469","147989.4663","139000","111790.571","116151.872","129826.493","129000"
