"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"M642.504T1347.309",0.019099,0.0028232,0.012989,0.0003285,0.021918,-0.0015372,0.0040615,0.010623,0.012213,0.0090833,-0.053972,-0.0040483,0.072728,0.033178,-0.0031168
"M773.519T1472.663",-0.022143,-0.018482,0.013566,0.026659,0.01555,0.010299,0.031935,-0.020322,0.032305,0.001422,0.0069483,0.0031499,-0.014049,-0.0014516,0.005822
"M773.52T1405.986",-0.022242,-0.01866,0.013753,0.027004,0.015349,0.010024,0.031928,-0.020858,0.03292,0.0020217,0.0066537,0.0033058,-0.013185,-0.0027096,-0.0041568
"M631.469T1456.902",-0.0036041,-0.021498,0.027491,0.044113,0.019148,0.017277,0.0021308,0.041123,0.0049008,0.011011,0.0082765,-0.0018568,-0.0098102,0.01412,0.0019793
"M660.517T1313.696",0.017154,0.010654,0.027352,0.00132,0.015608,0.0095043,-0.0012518,0.050317,-0.0047341,0.013966,-0.021722,0.016758,0.022457,-0.023887,0.00025496
"M979.612T1358.969",-0.00052623,-0.011913,0.033146,0.0022186,0.016376,0.0028269,0.029075,0.0017022,0.0098413,-0.013814,-0.012641,-0.031518,0.0017259,-0.050387,-0.0044142
"M680.472T1423.013",0.0098037,0.011492,0.024712,0.011873,0.006797,0.020952,0.0084916,0.012129,-0.012225,-0.018855,-0.016511,0.007818,-0.003777,0.015204,0.0045219
"M333.204T1139.313",-0.00887,-0.031586,-0.025056,-0.010633,0.022284,0.03207,0.035228,0.018569,0.01948,0.041519,-0.0060681,-0.022932,0.0027651,-0.00058883,-0.0026996
"M664.46T1406.422",0.0092478,-0.002591,0.0076135,0.018021,0.026811,0.015023,-0.0055076,0.016916,-0.01203,-0.013252,-0.0098187,0.0097988,0.027012,-0.0022893,0.0020307
"M986.584T1323.28",-0.0023459,-0.01059,0.030863,0.026287,0.011469,0.019544,0.017029,-0.024835,0.010196,-0.0036333,0.0085683,-0.0039327,-0.002525,-0.008785,-0.0021495
"M676.511T1297.075",0.0099613,0.027641,0.039773,-0.00047693,-0.0086926,0.022038,0.014434,0.017611,0.030409,0.03032,0.023975,0.0006116,0.016103,-0.044028,0.010849
"M607.446T1439.489",0.01205,0.0091269,0.03327,0.022423,0.01549,0.0016947,0.0063535,0.023322,0.0069596,0.009837,0.013281,-0.0045737,0.0012953,-0.011429,0.0033746
