"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Mock","Mock","Mock","Xanthomonas","Xanthomonas"
"M529.154T821.794","-0.1735298","-0.6531483","-0.2451062"," 0.6516793"," 0.4201051"
"M487.212T857.117","-0.4197498","-0.4301306","-0.3243958"," 0.4927681"," 0.6815081"
"M322.969T105.104","-0.2199175","-0.2077741"," 0.2376520"," 0.4717171","-0.2816775"
"M475.146T746.942","-0.56404226","-0.32435761","-0.03226997"," 0.13279276"," 0.78787707"
"M1323.386T316.247","-0.1708474","-0.7073416"," 0.1063115"," 0.6700688"," 0.1018087"
"M438.049T766.588","-0.2895654","-0.3767448","-0.4318847"," 0.5428617"," 0.5553332"
"M1013.583T1347.533","-0.31884278","-0.50197613","-0.09173108"," 0.50410082"," 0.40844917"
"M407.045T415.442","-0.3864560","-0.3020937","-0.1619731"," 0.3794293"," 0.4710935"
"M331.068T223.104","-0.37087271","-0.41400043"," 0.20724054"," 0.02417701"," 0.55345558"
"M384.092T841.195","-0.03934434"," 0.29789819","-0.31251975","-0.41144608"," 0.46541197"
"M1611.697T937.933","-0.005134716","-1.023796308","-0.155060176"," 0.564254522"," 0.619736677"
"M465.105T746.988","-0.2820074"," 0.4886881","-0.1170472","-0.4668611"," 0.3772276"
"M653.913T316.046","-0.6001760","-0.3662718"," 0.0659418"," 0.3965810"," 0.5039250"
"M969.317T316.321","-0.2547088","-0.6964723"," 0.0375785"," 0.4547328"," 0.4588698"
"M354.082T204.227","-0.2733936"," 0.8669905","-0.3062160"," 0.6363218","-0.9237027"
"M311.104T1075.82","-0.1353932","-0.9054179","-0.4030127"," 0.7515418"," 0.6922819"
"M380.071T778.258","-0.1337350","-0.6255056","-0.0525438","-0.2569983"," 1.0687827"
"M638.078T817.768","-0.1060282","-0.8536125"," 0.2290436"," 0.2647751"," 0.4658220"
"M735.222T927.83","-0.46468746","-0.66995791","-0.09786606"," 0.61499175"," 0.61751968"
"M651.317T893.83","-0.351276207","-0.317134100","-0.002201306"," 0.414203984"," 0.256407629"
"M1167.557T907.179","-0.09012136"," 0.44063181"," 0.60424452","-0.62734134","-0.32741363"
"M221.066T891.624","-0.3230509","-0.5201491","-0.1625596"," 0.1195613"," 0.8861983"
"M204.085T413.719","-0.6813947","-0.6828958","-0.7021001"," 1.1082957"," 0.9580949"
"M621.125T857.148","-0.75568915","-0.19714605"," 0.53317646"," 0.05064135"," 0.36901739"
