"","PC1","PC2","PC3","PC4","PC5"
"M139.002T112.479",0.015978,0.018573,-0.02911,-0.0050775,-0.002419
"M1095.872T896.96",0.012531,-0.012363,-0.052596,0.059056,-0.00039509
"M957.374T926.518",0.042529,0.009791,0.031564,-0.0050623,0.0040673
"M429.646T308.971",0.030306,0.020488,-0.016787,-0.0063906,0.0033739
"M968.4T974.568",0.043971,0.0067247,0.052459,-0.013015,0.0055134
"M1015.586T1347.819",0.034955,-0.01302,0.0089536,-0.014312,0.0012749
"M1033.603T1229.397",0.028643,-0.0016252,0.012445,-0.0070222,0.0017984
"M533.169T900.984",0.031777,-0.023355,-0.017242,0.031087,-0.00089613
"M443.193T725.675",0.025434,0.034419,0.0043313,-0.038045,-0.0012468
"M1162.58T906.276",-0.083695,0.01704,0.048679,-0.044601,0.00092597
"M1095.01T894.541",-0.025527,0.032177,0.026185,-0.037437,-0.0037033
"M1209.581T888.373",0.0082652,0.033625,-0.032409,-0.0047622,0.0014875
