"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"M454.975T107.571",1.0671,1.0567,1.0527,1.0526
"M395.048T106.9",1.0664,1.0249,1.0208,1.0207
"M418.896T66.885",1.0652,1.0833,1.0949,1.0947
"M642.242T817.768",1.0635,1.0188,1.016,1.0159
"M967.561T1349.704",1.061,1.0162,1.0143,1.0141
"M349.057T865.046",1.0605,1.0254,1.0224,1.0223
"M653.935T315.929",1.0594,1.0182,1.0146,1.0145
"M397.259T1311.545",1.0575,1.0284,1.0247,1.0248
"M579.301T894.416",1.0573,1.0186,1.0148,1.0147
"M631.863T318.629",1.0559,1.0123,1.009,1.0089
"M345.082T140.774",1.0542,1.0099,1.0069,1.0067
"M407.045T415.442",1.0531,1.0142,1.01,1.0099
"M1097.561T894.34",1.0516,1.0073,1.0234,1.0233
"M808.342T938.944",1.0474,1.0586,1.0553,1.0551
"M911.268T936.747",1.0471,1.0669,1.0672,1.067
"M429.074T115.482",1.0442,1.0017,0.99809,0.99804
"M433.122T384.02",1.0441,1.1942,1.1895,1.1893
"M661.226T856.483",1.0423,1.0445,1.0418,1.042
"M448.965T106.062",1.0419,1.0172,1.0132,1.0135
"M299.259T1433.689",1.0397,1.1047,1.1025,1.1024
"M823.337T914.416",1.0395,1.0536,1.0515,1.0514
"M445.135T747.805",1.0392,0.99774,1.0043,1.0042
"M632.783T316.499",1.0391,0.99942,0.99542,0.99538
"M998.841T1404.514",1.0388,1.0709,1.0698,1.0696
"M451.174T880.577",1.0386,1.1363,1.1315,1.1314
"M439.083T756.683",1.0379,1.0204,1.0173,1.0172
"M443.191T791.98",1.037,1.0171,1.0146,1.0144
"M881.515T1351.787",1.0365,1.0192,1.0178,1.0177
"M1031.288T315.245",1.0359,1.0115,1.0103,1.0102
"M581.318T900.123",1.0357,0.99869,0.99561,0.99556
"M971.627T318.415",1.0352,0.99174,0.98838,0.98841
"M1037.324T316.098",1.0349,1.0014,0.99723,0.9971
"M180.971T1182.798",1.0324,0.99674,0.99338,0.99327
"M1036.399T977.849",1.0316,1.0896,1.0869,1.087
"M941.306T938.915",1.03,1.0365,1.0349,1.0348
"M943.39T965.159",1.026,1.0877,1.0883,1.0882
"M631.833T319.717",1.025,1.0373,1.0334,1.0332
"M467.051T320.771",1.0235,0.98576,0.98462,0.98458
"M418.218T902.438",1.0234,1.0543,1.0537,1.0537
"M1009.607T1323.757",1.0232,0.98074,0.97776,0.97764
"M1095.84T892.791",1.0214,1.2643,1.2739,1.2739
"M911.26T1004.032",1.0207,1.1003,1.1055,1.1054
"M351.085T316.423",1.0197,0.97694,0.97296,0.97283
"M431.769T791.594",1.0192,1.0167,1.0125,1.0124
"M1094.047T894.516",1.0182,0.97728,0.97556,0.9756
"M385.188T793.619",1.0168,0.97394,0.97006,0.96994
"M405.177T839.252",1.0119,0.97279,0.96894,0.96903
"M795.198T1006.041",1.011,1.0279,1.0246,1.0245
"M461.152T871.999",1.0109,0.96836,0.96638,0.96625
"M1053.286T316.584",1.0102,0.97793,0.97397,0.97385
"M359.098T671.316",1.0089,0.96802,0.96529,0.96524
"M335.137T198.47",1.0084,0.97725,0.97374,0.97362
"M380.071T778.258",1.0051,1.0105,1.0189,1.0188
