"","Comp 1","Comp 2","Comp 3","Comp 4"
"M333.109T769.719",-0.029431,0.013268,-0.085938,-0.06479
"M324.072T215.478",-0.046723,0.054268,-0.033688,0.023711
"M830.24T316.247",0.043048,-0.012646,-0.025598,-0.032335
"M695.289T1193.403",0.01486,0.0061171,0.037088,0.051661
"M1087.412T876.684",0.04011,-0.0085565,-0.00055157,-0.033729
"M385.077T649.201",-0.0094845,0.0095461,0.00012371,-0.0029529
"M549.205T845.853",0.041757,-0.0028729,-0.018342,-0.044891
"M419.03T798.766",-0.019455,0.0091791,0.064389,-0.0013036
"M389.108T489.956",0.054348,-0.031514,-0.018214,-0.030953
"M632.847T316.374",0.040666,-0.022174,-0.01481,0.033254
"M341.535T617.585",0.041517,0.026956,0.012941,0.0066763
"M387.034T831.689",0.06128,-0.019526,-0.0082251,0.043014
"M611.538T834.844",0.038578,-0.053613,0.017819,0.023668
"M455.021T825.04",0.058582,-0.032869,0.0030205,0.021757
"M1036.399T977.849",0.04053,-0.044434,-0.028982,0.048051
"M305.082T1122.457",0.042041,-0.039717,0.0094685,0.03681
"M435.217T805.716",0.047543,-0.031054,0.009564,0.0011144
"M1136.545T907.7",-0.030608,-0.027914,0.030148,-0.025862
"M345.37T608.086",0.017765,0.025807,0.0017358,-0.036913
"M642.302T1183.207",0.043506,0.028164,-0.061265,0.034621
"M1130.454T886.215",0.02207,-0.013304,0.0016027,-0.022677
"M476.12T661.378",0.013616,-0.11191,0.038503,-0.019078
"M1163.579T906.602",-0.066467,-0.02026,-0.00036683,-0.009866
"M415.086T168.579",0.025325,-0.0058539,0.022884,-0.026873
"M567.333T903.822",-0.038288,-0.038355,-0.00097647,-0.018743
"M524.849T67.744",0.026893,0.0030962,0.0069871,-0.019687
"M1163.56T905.015",-0.057868,-0.042133,-0.0043967,-0.0035149
"M401.18T764.21",0.042679,-0.032669,0.0078477,0.020795
"M1463.124T939.772",0.012406,-0.012743,-0.070784,-0.0031875
"M823.337T914.416",0.038786,-0.031184,-0.027632,0.023944
"M279.124T874.724",-0.021345,0.037984,-0.043898,-0.048407
