"","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M716.516T1356.112"," 15422.25"," 40301.05"," 35300.00"," 34063.48","359169.42"," 65174.42"," 38669.53"," 43874.68"," 70400.00"," 44355.61"," 36900.00"," 39800.00"," 39223.30"," 24634.24"," 36910.14"," 45534.85"," 61562.24"," 44600.00"
"M775.526T1457.082"," 76222.89","400163.31","381000.00","417970.27"," 67995.62","392970.32","427423.64","444774.09","358000.00","626067.61","425000.00","353000.00","350625.93"," 63597.71","369101.69","392878.18","580372.21","482000.00"
"M590.446T1338.898","140783.8","172411.9","181000.0","162137.4","121784.8","120363.2","197713.3","226388.1","213000.0","177240.0","158000.0","193000.0","196006.4","114479.0","193784.8","213582.9","189087.4","207000.0"
"M826.525T1288.728"," 11651.85","193465.48","230000.00","202370.46"," 14211.67","159095.35","274761.89","216906.30","216000.00","286076.70","223000.00","271000.00","231240.81"," 18323.05","263363.97","237216.96","289088.92","243000.00"
"M879.468T1338.726"," 11896.540"," 73566.546"," 93800.000"," 70470.566","  3205.691"," 44184.472"," 98451.371"," 69612.409"," 82200.000"," 90657.927"," 78900.000","176000.000","103215.973","  7454.359","134227.258"," 89877.390"," 90429.685"," 99400.000"
"M826.503T1348.634","  7185.057","193355.373","227000.000","202210.791"," 14211.673","158857.349","279062.159","216854.937","215000.000","273682.961","218000.000","267000.000","226331.379"," 18323.045","255875.977","232599.540","284297.493","243000.000"
"M808.523T1304.698"," 22711.13","160295.73","208000.00","214786.53"," 25050.63","170089.36","219980.85","179675.11","191000.00","232198.78","206000.00","198000.00","171663.14"," 22138.80","236827.13","203916.17","240461.83","249000.00"
"M647.463T1423.013","  44523.48"," 721742.28"," 806000.00"," 698912.55","  94740.16"," 630920.74"," 900169.03"," 995054.44","1240000.00"," 804410.15"," 750000.00","1410000.00","1055296.86","  43881.78","1055877.79","1493831.24"," 774461.07"," 961000.00"
"M613.48T1389.147"," 131720.10"," 377189.38"," 253000.00"," 231598.99","1908990.97"," 160297.52"," 257706.09"," 151494.14"," 159000.00"," 231803.83"," 204000.00"," 233000.00"," 157958.94","  91117.64"," 130476.63"," 183618.86"," 288413.55"," 258000.00"
"M556.445T1212.039"," 10398.115"," 21989.765"," 29200.000"," 19674.738","  3942.292"," 31930.752","163353.676"," 18602.835"," 30800.000"," 33383.517"," 24400.000"," 11500.000"," 12657.841","  2138.860"," 10418.402"," 23814.668"," 17303.352"," 23500.000"
"M937.593T1423.395","  5211.031","103667.144","134000.000"," 99280.319"," 68955.100"," 91179.820","164175.286","137689.700","141000.000","315145.846","124000.000","113000.000","129118.050","  5202.074","113091.691","141745.043","204778.162","156000.000"
"M645.457T1372.456"," 81213.21","374466.80","335000.00","376436.54","109670.11","336280.94","435974.10","452689.21","474000.00","379539.56","345000.00","622000.00","421002.69"," 55438.77","395208.77","579403.26","381140.17","443000.00"
