"","QC.1","QC.2","QC.3","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M805.511T1321.794","-0.20462773"," 0.05080866","-0.11003581"," 0.04733812"," 0.34324670","-0.32108793","-0.35654152"," 0.44057163","-0.38981857"," 0.03473318"," 0.11310524"," 0.24041180","-0.18584672"," 0.18528710"," 0.11245585"
"M425.287T1423.366","-0.401407822"," 0.332223587","-0.368848435","-0.329163074"," 0.689048512","-0.223796208"," 0.511406936","-0.373660436","-0.270617636"," 0.484929969"," 0.009310332","-0.168006239"," 0.526006835","-0.085783380","-0.331642943"
"M347.255T1439.392","-0.446390972"," 0.227385386","-0.257330503","-0.193163701"," 0.268295556","-0.220213343"," 1.116426219"," 0.077535502","-0.249070272","-0.586077129","-0.089062377","-0.337272840"," 0.007952529"," 0.407543195"," 0.273442749"
"M895.471T1240.129","-0.10758421","-0.30672422","-0.30051951"," 0.24576287"," 0.23911647","-0.17409364","-0.14624461","-0.11961742","-0.27850039"," 0.36147004","-0.33179616"," 0.82523999","-0.02523883","-0.04267625"," 0.16140588"
"M424.212T1357.137"," 0.002210997","-0.224466552"," 0.143570443"," 0.485872995"," 0.006604295"," 0.081506998","-0.081854752"," 0.422898236"," 0.058226650","-0.222567222","-0.356500306"," 0.076640161","-0.493485161","-0.040235140"," 0.141578359"
"M769.489T1272.035"," 0.25371308","-0.12059516","-0.37831059"," 0.14691696"," 0.10363393","-0.51580506"," 0.53065561"," 0.27927249","-0.44046874","-0.07635660","-0.27615428"," 0.21926831","-0.18703086"," 0.08363993"," 0.37762097"
"M336.26T1207.169","-0.109003485","-1.001439382"," 0.168741797","-0.430158054"," 0.034713162"," 0.177325172"," 0.356427349","-0.016422021"," 0.380375198","-0.144542388","-0.571537275"," 0.348319491","-0.003658238","-0.046518855"," 0.857377528"
"M1007.556T1205.605","-0.25030832","-0.14427112","-0.31175436"," 0.04960994"," 0.32884855","-0.35667801","-0.13457918"," 0.30271475","-0.19046529","-0.22891384"," 0.02882459"," 0.62384268","-0.16603012"," 0.17040215"," 0.27875756"
"M769.495T1343.802"," 0.360153853","-0.087894853","-0.424850326"," 0.151655284"," 0.006504105","-0.475607906"," 0.229104836"," 0.321372547","-0.446464297","-0.072450674","-0.246971785"," 0.287500381","-0.209435799"," 0.118323982"," 0.489060651"
"M624.436T1440.08","-0.39899641","-0.14362569","-0.13915842","-0.28878944","-0.12262567"," 0.17535189"," 0.14475616","-0.35965484","-0.05773868"," 0.52075211"," 0.12552457"," 0.12010815"," 0.74201465","-0.28827967","-0.02963870"
"M567.431T1440.116"," 0.043485813"," 0.100034061","-0.113841411","-0.265317362","-0.094731708","-0.254667631"," 0.157985554","-0.498871064","-0.350085697"," 0.271240070"," 0.036110935"," 0.793607219","-0.002175013"," 0.068546928"," 0.108679305"
"M934.562T1254.627","-0.17530244","-0.15008984","-0.07691369"," 0.62600213"," 0.03466233","-0.06140806"," 0.06170619"," 0.54974051"," 0.06062188","-0.71213660","-0.51514936"," 0.30611255","-0.29972197"," 0.21177905"," 0.14009733"
"M1008.558T1238.755","-0.056191825","-0.326212357","-0.450948970","-0.350495516"," 0.270201685","-0.268032030","-0.042479390"," 0.269487737","-0.213029665","-0.082413923"," 0.007064987"," 0.646503569","-0.114929129"," 0.278412898"," 0.433061930"
"M349.197T1405.871","-0.26065657","-0.07939235","-0.31359417","-0.35242876"," 0.19954725"," 0.45873288"," 0.22399827"," 0.10815588"," 0.08773592","-0.09669271"," 0.04466515","-0.35792690"," 0.24512484"," 0.22310865","-0.13037738"
"M841.471T1389.363","-0.10878406"," 0.17315610"," 0.02750369","-0.37899095","-0.40936512","-0.13707858","-0.34143719","-0.26517007","-0.08094278"," 0.24468434"," 0.10910841"," 0.71720218"," 0.25195774","-0.09463668"," 0.29279296"
"M655.418T1389.36","-0.354062521","-0.047097072","-0.273533270","-0.124630991","-0.128929036","-0.023656907"," 0.004684944","-0.172768046","-0.247790080"," 0.357062420"," 0.153005220"," 0.163685920"," 0.607924134"," 0.171294013","-0.085188727"
"M947.38T990.311","-0.0099588525","-0.0006220261","-0.1039346474","-0.8287265643","-0.1584027650"," 0.2126623347"," 0.4063453769","-0.1909486956"," 0.0918396421","-0.2523044669"," 0.3258044341"," 0.3652926833"," 0.0982493397","-0.0482963421"," 0.0930005491"
"M575.479T1473.048","-0.1325248","-0.3730976","-0.1737706","-0.6227656","-0.4332687"," 0.1760001"," 0.1638648"," 0.2146801","-0.1476420"," 0.2911456"," 0.2721253"," 0.4027779"," 0.4402753","-0.2034909"," 0.1256913"
