"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M343.102T681.368",0.39468,1.1567,1.1348,1.091,1.081,1.0801,1.0801,1.0801
"M343.213T896.579",0.39334,0.89861,0.82332,0.79172,0.79391,0.79325,0.79333,0.79333
"M584.88T67.734",0.39266,0.55144,0.9474,0.91564,0.99094,0.99118,0.99113,0.99114
"M919.493T1102.884",0.39262,1.2402,1.1075,1.0824,1.0733,1.0783,1.0782,1.0782
"M1030.642T1193.369",0.39183,1.0878,1.0067,0.96821,0.9595,0.95868,0.95863,0.95863
"M743.317T783.373",0.39152,0.95738,1.0594,1.0809,1.0709,1.0727,1.0727,1.0728
"M1097.514T1402.931",0.39145,0.73088,0.71528,0.71514,0.70848,0.70792,0.70789,0.70788
"M1047.557T895.369",0.3899,0.94072,0.83464,0.83867,0.84721,0.84777,0.84772,0.84772
"M567.171T792.05",0.38804,1.0611,0.97547,0.93898,0.9303,0.92952,0.92949,0.92949
"M630.879T67.545",0.38684,0.54356,0.72795,0.81007,0.82288,0.82276,0.82275,0.82275
"M1136.99T908.053",0.38571,0.77687,0.80333,0.78304,0.77967,0.7798,0.77976,0.77976
"M459.052T765.953",0.38558,0.90087,0.80208,0.78431,0.78193,0.78226,0.78224,0.78224
"M683.887T67.591",0.38499,0.49798,1.046,1.0759,1.1046,1.1043,1.1043,1.1043
"M355.318T1470.36",0.38374,0.80403,0.84254,0.81295,0.81158,0.81099,0.81096,0.81095
"M447.152T782.273",0.38328,0.68384,0.68848,0.66249,0.65881,0.65915,0.65921,0.65921
"M706.319T1147.92",0.38291,1.1174,1.0846,1.1123,1.1095,1.1089,1.1089,1.1089
"M1030.586T1195.906",0.38198,0.88272,0.79354,0.77573,0.76864,0.76813,0.76809,0.76809
"M338.988T94.519",0.38159,0.48467,0.96449,0.92879,0.92142,0.92187,0.92182,0.92182
"M501.206T823.684",0.38016,0.745,0.70542,0.70733,0.7011,0.70058,0.70054,0.70054
"M1323.606T888.291",0.37954,0.24208,0.57766,1.3971,1.3889,1.3878,1.3877,1.3877
"M366.994T111.318",0.37936,1.0232,0.92184,0.88625,0.87863,0.8779,0.87785,0.87785
"M501.922T67.415",0.37893,0.33243,1.2025,1.2777,1.282,1.2815,1.2814,1.2814
"M521.224T935.29",0.37867,0.9635,0.85433,0.83223,0.82576,0.82688,0.82684,0.82684
"M377.193T1206.958",0.37808,0.44453,0.80351,0.79302,0.78726,0.78773,0.78789,0.7879
"M698.988T986.183",0.37765,1.3372,1.1881,1.1422,1.1329,1.1335,1.1335,1.1335
"M826.82T66.912",0.37743,0.9992,1.0521,1.2151,1.2163,1.2155,1.2154,1.2154
"M295.081T793.997",0.37695,0.92074,0.81579,0.79845,0.79285,0.79261,0.79262,0.79262
"M701.85T68.208",0.37668,0.47643,0.56607,0.62381,0.66601,0.66545,0.66547,0.66547
"M202.942T91.028",0.37632,0.91513,1.1278,1.1095,1.1126,1.1119,1.1119,1.1119
"M471.234T922.432",0.37615,0.72136,0.71291,0.68524,0.68061,0.68204,0.68204,0.68204
"M478.284T1182.278",0.37594,0.2622,0.94106,0.94217,0.93501,0.93463,0.93459,0.93459
"M625.178T776.712",0.37584,0.86276,0.7914,0.772,0.76633,0.7657,0.76567,0.76567
"M385.188T793.619",0.37509,0.83659,0.79053,0.76204,0.76572,0.76518,0.76514,0.76514
"M1013.583T1248.821",0.3748,0.82012,0.74388,0.73427,0.7291,0.72849,0.72845,0.72845
"M371.116T87.699",0.37349,1.267,1.2094,1.1661,1.1553,1.1543,1.1543,1.1543
"M821.506T1329.663",0.372,0.61808,0.54802,0.65969,0.65817,0.65761,0.65765,0.65765
"M377.107T115.273",0.37187,0.93232,0.84173,0.81002,0.80294,0.80226,0.80222,0.80222
"M570.518T894.146",0.37108,1.5927,1.4164,1.3675,1.3584,1.3573,1.3572,1.3572
"M390.087T116.11",0.37055,0.936,0.82887,0.79975,0.82517,0.82465,0.82463,0.82463
"M333.135T1582.426",0.37022,0.86891,0.85898,0.83541,0.83546,0.83478,0.83476,0.83476
"M1132.537T923.907",0.37015,0.69448,0.77072,0.74112,0.739,0.74197,0.74194,0.74194
"M561.985T1245.624",0.36996,0.88981,0.79338,0.76328,0.75731,0.75667,0.75666,0.75666
"M876.821T69.273",0.36951,0.23257,0.74426,0.83731,0.85088,0.85039,0.85034,0.85034
"M516.896T66.912",0.36936,0.40878,1.1276,1.2333,1.226,1.2251,1.225,1.225
"M425.046T798.077",0.36899,1.4717,1.3312,1.283,1.2713,1.2703,1.2702,1.2702
"M383.156T805.681",0.36804,0.83413,0.74168,0.73173,0.74819,0.74838,0.74849,0.7485
"M808.835T67.938",0.36792,0.42168,0.69978,0.73769,0.79573,0.79516,0.79512,0.79512
"M279.139T1150.344",0.36781,0.53373,0.64202,0.70368,0.81752,0.81682,0.81696,0.81699
"M429.156T412.291",0.36775,1.2202,1.1944,1.1949,1.1846,1.187,1.187,1.187
"M609.153T789.212",0.36744,0.83081,0.74266,0.72863,0.72187,0.72149,0.72146,0.72146
"M323.22T1468.402",0.36729,0.78723,0.83218,0.80455,0.79771,0.79704,0.797,0.797
"M309.525T1630.08",0.36729,0.80068,0.83039,0.80947,0.80195,0.8013,0.80126,0.80126
"M415.27T1182.702",0.36711,1.0531,0.93579,0.89945,0.89171,0.89107,0.89103,0.89103
"M359.098T671.316",0.36656,0.92908,0.82314,0.79614,0.82637,0.82776,0.82772,0.82772
"M1162.522T896.44",0.36641,1.0498,0.93366,0.89952,0.89121,0.89134,0.89131,0.89131
"M589.271T908.408",0.36571,0.63868,0.58398,0.56856,0.62307,0.6293,0.62948,0.62948
"M455.265T1063.258",0.36471,0.97548,0.86452,0.84446,0.83799,0.83727,0.83724,0.83724
"M286.972T107.919",0.36336,0.74031,0.79476,0.77177,0.76494,0.76473,0.76471,0.7647
"M755.829T66.935",0.36331,0.5995,1.2812,1.2917,1.2963,1.2967,1.2966,1.2966
"M139.002T112.479",0.36281,0.85026,0.75711,0.7342,0.72757,0.72703,0.72699,0.72699
"M283.086T201.788",0.3623,1.1516,1.3256,1.3461,1.3336,1.3325,1.3326,1.3326
"M698.005T988.342",0.3621,1.2897,1.1488,1.1042,1.1069,1.106,1.1059,1.1059
"M196.925T95.796",0.36194,0.74632,0.7086,0.68269,0.72741,0.72896,0.729,0.729
"M334.932T113.331",0.36181,0.77712,0.73332,0.71631,0.71031,0.70976,0.70977,0.70977
