"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","Other","Other","Other","Other","Other","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M575.48T1420.61","-1.85663068"," 0.55480665"," 0.55480665"," 0.62546942"," 0.47138451"," 0.36872788"," 0.41830686"," 0.57453877"," 0.46517694","-1.90175958"," 0.64518667","-1.90546884","-0.57945249","-1.13694503","-0.02086881","-0.42603666"," 0.44026755"," 0.74692732"," 0.70734816"," 0.76583537"," 0.48837932"
"M575.48T1555.33","-1.31873005"," 0.50941679"," 0.50941679"," 0.23146696"," 0.46444163","-0.00542273"," 0.12380448"," 0.42734040"," 0.24989005","-0.97772910"," 0.76358869","-1.37686371","-0.12539219","-1.23342417","-0.26385110","-0.78363403"," 0.22560228"," 1.02130879"," 0.65608844"," 0.44122952"," 0.46145226"
"M579.89T13.55"," 0.04857402"," 0.06924319"," 0.06924319"," 0.02568795"," 0.23391369"," 0.10981523","-0.05219016"," 0.14347919","-0.10295875"," 0.11984782"," 0.22166257"," 0.06676020"," 0.10996302"," 0.08130416"," 0.01862725"," 0.23323201"," 0.11072964","-0.38930199"," 0.25358751","-0.72448708","-0.64673268"
"M589.43T1437.43"," 0.08346729"," 0.17040767"," 0.17040767"," 0.20694576","-0.21052997"," 0.19080171","-0.07690342"," 0.18487255"," 0.10825676","-0.25798087"," 0.36012941","-0.67702959"," 0.33788535","-0.53111713","-0.53416224","-0.87383604"," 0.07144511"," 0.63616876"," 0.30389954"," 0.30711714"," 0.02975454"
"M592.89T17.56","-0.59528304","-0.20454784","-0.20454784"," 0.09200285"," 0.08242810"," 0.08309803"," 0.09598885","-0.01710044","-0.02040623"," 0.62762872"," 0.04449565"," 0.62191342"," 0.06086097"," 0.64277290"," 0.01441496","-0.23346579"," 0.09827834","-0.34525412"," 0.02242006","-0.73983178","-0.12586577"
"M593.89T12.55"," 0.190615246"," 0.010192390"," 0.010192390"," 0.052759796"," 0.367686190","-0.002940229"," 0.688207694","-0.232701212","-0.253798846","-0.545236849","-0.075402396","-0.236478188"," 0.047519814","-0.125644702","-0.063722571","-0.186339116"," 0.136605257","-0.069745936"," 0.103161192"," 0.236009535","-0.050939461"
"M603.37T16.56","-0.315560538","-0.495331499","-0.495331499"," 0.005334256"," 0.086904752"," 0.347559825"," 0.036251392"," 0.085822793"," 0.086835469"," 0.024904908"," 0.545697573"," 0.407921307","-0.044321286"," 0.563008386","-0.354669444"," 0.499937787","-0.134300863"," 0.040404675","-0.313367650","-0.268658907","-0.309041437"
"M604.89T12.55"," 0.10700210","-0.28696586","-0.28696586"," 0.49982223"," 0.05830881"," 0.04948007"," 0.11241124","-0.46665889"," 0.04182598","-0.53998046","-0.04563381","-0.08250093"," 0.03104448","-0.08449129"," 0.01049284"," 0.06355319"," 0.19951223"," 0.14010487"," 0.13591456"," 0.14388207"," 0.19984239"
"M612.87T18.56","-0.674317027","-0.083697558","-0.083697558","-0.274396961"," 0.082388755"," 0.088666680"," 0.131553757","-0.072171339","-0.034890500"," 0.493480373"," 0.159014547"," 0.137314101"," 0.076101828"," 0.582335186"," 0.044385344"," 0.408896054","-0.004495402","-0.292524700","-0.069278278","-0.588482092","-0.026185211"
"M612.88T11.54"," 0.15129760","-0.19855006","-0.19855006"," 0.12226237"," 0.55869400","-0.09029757"," 0.15256674","-0.46595361","-0.35697963","-0.37762128"," 0.76006344","-0.14749275"," 0.11839682"," 0.02216033"," 0.17592206","-0.38490888","-0.08892017"," 0.04802233"," 0.29606442"," 0.26050692","-0.35668301"
"M618.85T19.56","-0.624109937"," 0.094866107"," 0.094866107"," 0.154208487"," 0.001636509"," 0.154671559","-0.025620668","-0.242888448","-0.045321678"," 0.604827867"," 0.032966761","-0.305051676"," 0.082492996"," 0.121267249"," 0.019461879"," 0.153606050"," 0.254320864"," 0.128910109"," 0.306510542","-0.505318244","-0.456302437"
"M624.87T18.56","-0.38540693"," 0.11264993"," 0.11264993","-0.07848175","-0.11260455"," 0.01075671"," 0.28455772"," 0.15712203","-0.23416980","-0.16791878"," 0.03945384","-0.11629121"," 0.01802893","-0.27879541","-0.09802145"," 0.68606737"," 0.46659258","-0.26308099"," 0.23157579","-0.28037347","-0.10431050"
"M626.86T18.56","-0.5849891160","-0.1502844589","-0.1502844589"," 0.0729102974"," 0.2207794836"," 0.3067184922"," 0.0045512788"," 0.0336799730"," 0.1435727169"," 0.0827247828"," 0.0007148637"," 0.3138672094","-0.1737523047"," 0.1770138192"," 0.1380096135","-0.0868672047"," 0.1837961468","-0.2468796387"," 0.0837235012","-0.2474420394","-0.1215629572"
