"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"M885.822T66.912",0.9134,0.95043,0.95153,0.95153,0.95153
"M489.058T766.222",0.91332,0.90389,0.90372,0.90372,0.90372
"M1143.444T941.11",0.9132,0.95271,0.95252,0.95252,0.95252
"M413.108T298.268",0.91224,0.89344,0.89372,0.89372,0.89372
"M657.109T89.959",0.91129,0.89379,0.89362,0.89362,0.89362
"M443.193T725.675",0.90896,0.91926,0.91931,0.91931,0.91931
"M1095.01T894.541",0.90795,0.91692,0.91678,0.91678,0.91678
"M1162.522T896.44",0.90747,0.89646,0.89629,0.89629,0.89629
"M399.165T851.906",0.9058,0.90786,0.90779,0.90779,0.90779
"M567.778T908.116",0.90483,0.88579,0.88564,0.88564,0.88564
"M545.846T78.22",0.90372,0.88528,0.88525,0.88525,0.88525
"M401.144T790.222",0.90192,0.89587,0.89571,0.89571,0.89571
"M459.959T106.348",0.90125,0.88802,0.88845,0.88845,0.88845
"M684.885T67.374",0.89835,0.94429,0.945,0.945,0.945
"M471.152T726.342",0.89741,0.89539,0.89529,0.89529,0.89529
"M494.168T786.301",0.89546,0.96165,0.9618,0.9618,0.9618
"M562.892T1151.046",0.89517,0.87712,0.87708,0.87708,0.87708
"M665.182T815.828",0.89403,0.93276,0.9326,0.9326,0.9326
"M328.886T98.013",0.89223,0.87715,0.87714,0.87714,0.87714
"M911.26T1004.032",0.89152,0.94462,0.94456,0.94456,0.94456
"M265.093T134.502",0.88962,0.87898,0.87883,0.87883,0.87883
"M644.248T900.496",0.88742,0.87017,0.87039,0.87039,0.87039
"M369.388T763.979",0.88719,0.87397,0.87457,0.87457,0.87457
"M289.886T1868.955",0.88644,0.87407,0.87401,0.87401,0.87401
"M807.166T938.699",0.88083,0.88882,0.88918,0.88919,0.88919
"M1390.547T1005.094",0.87992,0.8934,0.89323,0.89323,0.89323
"M799.852T67.938",0.87869,0.91496,0.91483,0.91483,0.91483
"M653.913T316.046",0.87619,0.87198,0.87201,0.87201,0.87201
"M708.241T861.396",0.87521,0.85683,0.85732,0.85732,0.85732
"M647.193T836.421",0.87502,0.88681,0.88669,0.88669,0.88669
"M998.841T1404.514",0.87498,0.86339,0.86333,0.86333,0.86333
"M240.933T64.89",0.8743,0.86119,0.86107,0.86107,0.86107
"M238.892T97.993",0.87354,0.87049,0.87036,0.87036,0.87036
"M395.189T761.387",0.87336,0.87045,0.87034,0.87034,0.87034
"M427.038T293.27",0.87176,0.8842,0.8843,0.8843,0.8843
"M501.195T803.697",0.8693,0.89351,0.89369,0.89369,0.89369
"M688.263T861.089",0.86924,0.86335,0.8632,0.8632,0.8632
"M286.972T107.919",0.86879,0.85344,0.85341,0.8534,0.8534
