"","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M647.463T1423.013","-0.573154876","-0.100079195","-0.028722895"," 0.314265011","-0.237949595","-0.384445257"," 0.413535740"," 0.132013651"," 0.205322125"," 0.561016723","-0.297195217","-0.004606215"
"M613.48T1389.147","-0.280727574"," 0.368864613","-0.393455811","-0.264585233"," 0.234306410"," 0.005644037"," 0.174527606","-0.248980500","-0.426731979","-0.064241626"," 0.512439069"," 0.382940987"
"M556.445T1212.039"," 0.212221357"," 1.492945051","-0.229879924"," 0.199988581"," 0.262319576","-0.016163128","-0.604971748","-0.476819927","-0.583877996"," 0.005764345","-0.255017323","-0.006508862"
"M937.593T1423.395","-0.552303190"," 0.147285185","-0.107856896","-0.023622658"," 0.907955250","-0.224880227","-0.338801184","-0.104369286","-0.191952939","-0.009063851"," 0.398519666"," 0.099090128"
"M645.457T1372.456","-0.4031401882"," 0.0178196493"," 0.0076844724"," 0.1528698826","-0.1875361890","-0.4020560936"," 0.4910138970","-0.0003922365","-0.0099958417"," 0.4710920048","-0.1941364384"," 0.0567770812"
"M668.506T1440.08","-0.61403623"," 0.15337532","-0.04161457"," 0.25356631","-0.29462278","-0.32998543"," 0.35365171"," 0.06127749"," 0.25959029"," 0.35217681","-0.29434089"," 0.14096197"
"M330.262T1591.258"," 0.38403522"," 0.29523724","-0.71489440"," 0.13464207"," 0.07737994"," 0.05723624"," 0.12853220"," 0.16332397","-0.16630394","-0.63575564"," 0.13582601"," 0.14074110"
"M668.509T1456.373","-0.65209865","-0.24136715","-0.04432293"," 0.28613931","-0.23268542","-0.32313616"," 0.26492943"," 0.21480127"," 0.32359536"," 0.41490253","-0.22803625"," 0.21727866"
"M514.252T1322.055","-0.08380436"," 0.24396395","-0.71648943"," 0.25758717","-0.16117695","-0.09111696","-0.16073540","-0.17779031"," 0.16246623"," 0.26205920"," 0.19322160"," 0.27181525"
"M863.507T1099.137"," 0.51663702"," 0.59794848","-0.51594706"," 0.01656552"," 0.29651790","-0.43823253","-0.15904451","-0.26696662","-0.01208365","-0.32088052","-0.08336378"," 0.36884974"
