"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M501.206T823.684",0.040942,0.038003,-0.064436,-0.037793,0.02198,-0.038146,6.307e-05,0.0072035
"M438.049T766.588",0.038282,0.015234,0.032932,-0.025645,-0.031182,0.012587,-0.066905,-0.045726
"M1013.583T1347.533",0.035972,0.008432,0.010588,-0.021862,-0.019379,0.027832,0.0020071,-0.0041952
"M407.045T415.442",0.030697,-0.0076739,-0.050194,0.063445,-0.064184,0.0032446,0.024148,0.018125
"M331.068T223.104",0.045262,-0.038821,0.019932,-0.018872,-0.01033,-0.025486,0.015761,-0.023271
"M384.092T841.195",0.0098903,-0.024481,-0.082145,0.10155,-0.067953,0.0035744,-0.077718,0.085079
"M1611.697T937.933",0.058741,-0.0069941,-0.012216,-0.041707,-0.0050294,0.041405,-0.077641,0.021104
"M653.913T316.046",0.038232,-0.00044429,0.011911,0.001731,-0.019182,0.027235,0.0083914,0.037273
"M969.317T316.321",0.031067,0.026522,0.0014715,-0.0064586,0.031583,-0.013715,0.025457,0.027501
"M311.104T1075.82",0.028737,0.084293,0.014222,-0.046593,0.0056221,0.074234,-0.03046,0.058156
"M380.071T778.258",0.048296,-0.035165,-0.042097,0.091315,0.050756,-0.044952,-0.01226,0.056804
"M638.078T817.768",0.028499,0.027822,-0.0073247,-0.043238,0.059525,-0.0025873,0.0083469,0.028213
"M651.317T893.83",0.034772,-0.014033,0.019466,-0.027774,-0.015315,0.029161,-0.021584,-0.017853
"M1167.557T907.179",0.034269,-0.095946,-0.004718,0.002958,0.011085,0.0013162,0.011009,0.018523
"M221.066T891.624",0.032887,0.021994,0.036047,0.016011,0.03931,-0.099455,0.0092068,-0.006303
"M204.085T413.719",0.039291,0.063949,-0.080024,0.14271,-0.11073,0.057532,0.0010456,0.052249
"M621.125T857.148",0.040915,-0.034838,0.050068,-0.013071,0.03778,-0.05554,0.046472,-0.037568
"M1009.554T1308.282",0.032302,-0.011828,0.027208,-0.028027,-0.037032,0.049617,-0.0067454,-0.0034433
"M483.178T941.182",0.035432,0.028643,0.03194,-0.0051119,-0.052825,0.016295,0.0022775,0.058584
"M1057.411T880.24",0.043881,0.0071314,-0.019863,-0.021484,0.039884,-0.04568,-0.011005,-0.026337
"M469.208T948.545",0.040113,0.028963,0.01095,0.0051146,0.033631,-0.0068093,-0.048344,0.007579
"M673.289T892.945",0.038565,0.0087451,0.017562,-0.037691,-0.010191,0.017188,-0.021584,0.006167
"M833.365T968.818",0.046476,0.013348,0.013114,-0.040395,0.030051,-0.022804,0.02098,-0.0044439
"M893.38T934.735",0.045347,0.012499,-0.091892,0.018669,0.025141,-0.00076603,0.024293,-0.0046209
"M393.176T847.594",0.037804,0.0086811,0.022114,-0.018415,-0.0052279,-0.016169,-0.014894,0.01464
"M981.364T901.259",0.037351,-0.005825,-0.011193,-0.023709,0.0024248,-0.017211,0.067662,-0.005674
"M653.935T315.929",0.036118,0.0019271,0.0041986,-0.011561,-0.0045193,0.033346,0.0094165,0.02678
"M865.491T1326.551",0.035104,-0.019234,0.027443,-0.043221,-0.02358,0.04371,-0.0040548,0.020811
"M449.202T630.506",0.034377,0.0044195,0.032276,-0.01105,0.013455,-0.0024999,-0.015336,0.012312
"M437.065T776.272",0.033812,-0.042556,0.03257,-0.018989,0.0043963,-0.0087587,0.030831,-0.0064166
"M268.959T125.12",0.033112,0.011598,0.02533,-0.043209,-0.028043,-0.014675,-0.010216,0.021154
"M551.272T837.928",0.038746,0.010649,-0.043622,0.002382,0.0059791,0.031381,0.028403,-0.033305
"M456.197T892.811",0.040453,-0.0036345,0.0048914,-0.0078517,0.002159,0.0056849,0.0058284,-0.00052893
"M356.995T88.504",0.037219,-0.036405,-0.021083,0.033109,-0.0086485,0.078113,-0.0010632,0.032055
"M391.157T830.263",0.043495,0.058371,-0.11275,-0.022705,0.057338,0.006085,-0.0012098,0.0094465
"M567.778T908.116",0.02662,-0.092126,0.021615,-0.023014,0.0087735,-0.019252,0.024959,-0.020521
"M559.667T1200.71",0.035115,-0.048195,0.032402,-0.045527,-0.010071,-0.0048846,-0.038781,-0.0031976
