"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Xanthomonas","Xanthomonas"
"M1263.489T907.902","-0.29928074","-0.09074167","-0.13311001","-0.09815021","-0.59541770"," 0.04703888"," 0.28668461"," 1.23188727"," 0.41126759"," 0.43047949","-0.83773712","-0.35292038"
"M451.174T880.577","-0.4232095","-1.2661964","-0.1188226","-0.3797367","-0.4070671","-0.6934973"," 0.6506568"," 1.2943384"," 0.7166373"," 0.5777933","-0.2628174"," 0.3119212"
"M405.08T802.267","-0.28947191","-0.35357477","-0.46821331","-0.24102791"," 0.03883554","-0.90240900"," 0.28107828"," 1.24430978"," 0.45027263"," 0.12006753"," 0.02030876"," 0.09982438"
"M309.119T137.634","-0.39846183","-1.22237564","-0.29712989","-0.08560830","-0.01116059","-0.36332170"," 0.32564993"," 1.09670965"," 0.51525562"," 0.25292289"," 0.09293506"," 0.09458478"
"M385.077T746.611","-0.22474001","-0.14509323","-0.06521956"," 0.27221942","-0.36654904","-0.23139379"," 0.06359176"," 1.16093099"," 0.30136758"," 0.47018730","-0.66608275","-0.56921866"
"M1030.642T1193.369","-0.34906585","-0.32923788","-0.03438852"," 0.12432116","-1.00891587","-0.34790623"," 0.55081799"," 0.51665237"," 0.43234884"," 0.51011661","-0.11651279"," 0.05177017"
"M429.414T851.13"," 0.05330886","-1.22105559","-0.25914342","-0.02894205","-0.12765942","-0.54239241"," 0.52970303"," 1.03287854"," 0.05559390"," 0.24519131"," 0.01646100"," 0.24605624"
"M723.577T942.094","-0.7865783"," 0.2200791","-0.5522087"," 0.2347881","-0.4721458","-0.3496481"," 0.3518751"," 1.1769497"," 0.4871989"," 0.3584418","-0.4336414","-0.2351103"
"M1071.439T878.893","-0.28455473","-1.33665185","-0.09248248","-0.22172444","-0.52911068","-0.59510256"," 0.56441267"," 1.07307738"," 0.63249790"," 0.35279780"," 0.05188489"," 0.38495611"
"M1069.501T1402.821","-0.41176915","-0.45571776","-0.76831407","-0.11779163"," 0.10541180","-0.75415883"," 0.43087699"," 1.00790077"," 0.33109887"," 0.34045362"," 0.22576720"," 0.06624218"
