"",chi.squared,p.value,-log10(p),FDR,Post-Hoc
M913.569T1491.061,1.0821,0.89709,0.047162,0.95751,NA
M1102.847T817.469,1.0821,0.89711,0.047156,0.95751,NA
M490.398T1557.593,1.0796,0.89749,0.046971,0.95751,NA
M1008.558T1205.605,1.078,0.89774,0.04685,0.95751,NA
M490.399T1658.237,1.0732,0.89851,0.046479,0.95751,NA
M369.188T1341.992,1.0727,0.89858,0.046444,0.95751,NA
M826.572T1358.969,1.0682,0.89928,0.046104,0.95761,NA
M354.338T1291.55,1.0644,0.89988,0.045816,0.95761,NA
M619.438T1245.233,1.0634,0.90003,0.045743,0.95761,NA
M991.717T1676.434,1.0614,0.90034,0.045593,0.95761,NA
M423.265T1220.872,1.0587,0.90076,0.045389,0.95761,NA
M651.413T1339.403,1.0557,0.90123,0.045163,0.95766,NA
M643.521T1591.044,1.0508,0.902,0.044795,0.95795,NA
M993.706T1608.07,1.0453,0.90286,0.044382,0.95795,NA
M979.316T816.552,1.044,0.90304,0.044291,0.95795,NA
M917.596T1624.867,1.0406,0.90357,0.044037,0.95795,NA
M943.588T1518.016,1.0381,0.90396,0.043849,0.95795,NA
M539.37T1440.062,1.0378,0.90401,0.043826,0.95795,NA
M411.288T1540.699,1.0341,0.90459,0.043549,0.95812,NA
M655.524T1523.779,1.0246,0.90604,0.042854,0.95902,NA
M427.299T1439.847,1.0186,0.90696,0.042411,0.95902,NA
M826.525T1272.551,1.0167,0.90725,0.042273,0.95902,NA
M423.273T1190.664,1.0161,0.90734,0.042231,0.95902,NA
M913.568T1574.274,1.0121,0.90795,0.041938,0.95902,NA
M332.33T1504.004,1.0086,0.90849,0.041679,0.95902,NA
M965.534T1338.605,1.0053,0.90899,0.041441,0.95902,NA
M369.163T896.878,1.004,0.90918,0.041349,0.95902,NA
M655.531T1610.398,1.0039,0.90921,0.041336,0.95902,NA
M913.567T1518.016,0.99966,0.90985,0.041031,0.95907,NA
M385.292T1245.233,0.99651,0.91032,0.040804,0.95907,NA
M1063.337T834.347,0.99529,0.91051,0.040716,0.95907,NA
M933.605T1376.163,0.99217,0.91098,0.040491,0.95913,NA
M490.399T1605.092,0.98394,0.91222,0.0399,0.95999,NA
M551.407T1609.206,0.97394,0.91372,0.039186,0.96049,NA
M913.568T1608.07,0.97177,0.91405,0.039032,0.96049,NA
M385.291T1291.55,0.9697,0.91436,0.038885,0.96049,NA
M1011.604T1223.69,0.96955,0.91438,0.038875,0.96049,NA
M695.553T1608.546,0.96271,0.9154,0.038391,0.96071,NA
M327.228T1608.501,0.96135,0.9156,0.038295,0.96071,NA
M519.39T1490.033,0.95861,0.91601,0.038102,0.96071,NA
M563.477T1540.702,0.95688,0.91626,0.03798,0.96071,NA
M353.341T1280.542,0.95283,0.91686,0.037696,0.96085,NA
M737.493T1439.78,0.95004,0.91727,0.037501,0.96085,NA
M967.563T1306.933,0.94752,0.91765,0.037324,0.96085,NA
M393.862T1820.109,0.93351,0.91971,0.036351,0.96256,NA
M395.293T1557.588,0.92687,0.92067,0.035894,0.96274,NA
M490.4T1540.43,0.92271,0.92128,0.035608,0.96274,NA
M842.492T1254.627,0.92243,0.92132,0.035589,0.96274,NA
M419.086T1291.55,0.92077,0.92156,0.035476,0.96274,NA
M433.102T1456.867,0.91255,0.92275,0.034914,0.96355,NA
M1005.544T1254.622,0.89779,0.92488,0.033916,0.96478,NA
M383.284T1439.726,0.89628,0.92509,0.033814,0.96478,NA
M808.523T1304.698,0.8941,0.92541,0.033668,0.96478,NA
M965.543T1234.319,0.89262,0.92562,0.033568,0.96478,NA
M658.506T1373.389,0.88638,0.92651,0.033152,0.96508,NA
M747.451T1490.329,0.88472,0.92674,0.033041,0.96508,NA
M606.436T1258.482,0.8715,0.92861,0.032165,0.96533,NA
M991.719T1473.643,0.86978,0.92886,0.032051,0.96533,NA
M701.599T1463.866,0.86603,0.92938,0.031805,0.96533,NA
M411.251T1437.383,0.86555,0.92945,0.031774,0.96533,NA
M421.258T1036.333,0.86527,0.92949,0.031756,0.96533,NA
M605.416T1473.993,0.86248,0.92988,0.031573,0.96533,NA
M373.364T1605.092,0.86206,0.92994,0.031545,0.96533,NA
M339.344T1608.535,0.85719,0.93062,0.031227,0.9656,NA
M513.269T1221.408,0.84753,0.93196,0.030601,0.96629,NA
M385.291T1423.013,0.84637,0.93213,0.030526,0.96629,NA
M329.322T1574.9,0.84325,0.93256,0.030324,0.9663,NA
M433.102T1423.014,0.84006,0.933,0.030119,0.96632,NA
M833.242T1612.704,0.83427,0.9338,0.029748,0.96633,NA
M354.276T1307.46,0.83241,0.93405,0.029629,0.96633,NA
M332.328T1440.13,0.83082,0.93427,0.029528,0.96633,NA
M354.284T1347.637,0.81604,0.93628,0.028592,0.96764,NA
M808.735T1557.614,0.81527,0.93639,0.028543,0.96764,NA
M385.289T1269.605,0.80711,0.93749,0.028033,0.96804,NA
M677.268T942.609,0.80619,0.93762,0.027975,0.96804,NA
M644.467T1354.385,0.79915,0.93856,0.027537,0.96858,NA
M512.762T1189.92,0.79238,0.93947,0.027118,0.96908,NA
M430.318T1538.64,0.77468,0.94181,0.026037,0.97106,NA
M434.105T1421.35,0.77003,0.94242,0.025756,0.97125,NA
M373.365T1591.631,0.76591,0.94296,0.025507,0.97137,NA
M645.475T1306.137,0.76,0.94373,0.025153,0.97172,NA
M586.464T1571.719,0.75408,0.9445,0.0248,0.97208,NA
M628.513T1455.855,0.74152,0.94611,0.024058,0.9733,NA
M967.562T1198.781,0.73061,0.9475,0.023421,0.97429,NA
M511.361T1439.891,0.71781,0.94911,0.022681,0.97551,NA
M857.599T1605.092,0.71283,0.94974,0.022396,0.97572,NA
M1007.556T1205.605,0.70763,0.95039,0.0221,0.97578,NA
M811.497T1605.017,0.70552,0.95065,0.021981,0.97578,NA
M989.551T1288.291,0.69851,0.95151,0.021585,0.976,NA
M385.291T1372.761,0.69686,0.95172,0.021493,0.976,NA
M426.391T1557.26,0.68205,0.95352,0.020669,0.97724,NA
M409.227T1333.055,0.67532,0.95434,0.020298,0.97724,NA
M423.199T1490.395,0.67454,0.95443,0.020256,0.97724,NA
M606.449T1440.513,0.66666,0.95538,0.019826,0.97724,NA
M605.42T1439.891,0.66575,0.95548,0.019776,0.97724,NA
M581.399T1399.634,0.66574,0.95549,0.019776,0.97724,NA
M353.341T1488.518,0.65888,0.9563,0.019405,0.97764,NA
M553.458T1657.822,0.64843,0.95753,0.018846,0.97846,NA
M722.265T908.018,0.63677,0.95889,0.018231,0.97941,NA
M471.796T1446.028,0.63142,0.95951,0.017951,0.97952,NA
M764.517T1325.086,0.61989,0.96083,0.017354,0.97952,NA
M311.159T1389.016,0.61967,0.96085,0.017343,0.97952,NA
M1063.323T864.231,0.61865,0.96097,0.017291,0.97952,NA
M434.107T1440.116,0.61715,0.96114,0.017214,0.97952,NA
M999.709T1492.083,0.59927,0.96314,0.016309,0.98112,NA
M677.439T1269.605,0.59547,0.96357,0.016119,0.98112,NA
M267.266T1423.012,0.59106,0.96405,0.0159,0.98118,NA
M999.712T1456.932,0.57706,0.96558,0.015212,0.9823,NA
M389.258T1456.786,0.56938,0.9664,0.014841,0.9827,NA
M299.109T1591.154,0.5583,0.96758,0.014312,0.98347,NA
M372.361T1418.277,0.54927,0.96853,0.013887,0.98359,NA
M513.268T1205.297,0.54563,0.96891,0.013717,0.98359,NA
M566.427T1621.712,0.54315,0.96917,0.013602,0.98359,NA
M565.423T1625.931,0.53929,0.96956,0.013423,0.98359,NA
M979.313T847.893,0.5365,0.96985,0.013295,0.98359,NA
M826.525T1288.728,0.50354,0.97316,0.011818,0.98509,NA
M373.363T1621.4,0.50016,0.97349,0.01167,0.98509,NA
M381.19T1422.254,0.49941,0.97356,0.011638,0.98509,NA
M881.483T1130.872,0.49251,0.97423,0.01134,0.98509,NA
M716.258T970.077,0.48811,0.97465,0.011152,0.98509,NA
M467.316T1558.103,0.48276,0.97516,0.010925,0.98509,NA
M649.52T1646.826,0.48043,0.97538,0.010827,0.98509,NA
M589.501T1621.712,0.47595,0.9758,0.010639,0.98509,NA
M606.433T1356.706,0.47263,0.97611,0.010501,0.98509,NA
M372.363T1525.945,0.46486,0.97683,0.010181,0.98509,NA
M600.431T1540.699,0.46436,0.97688,0.01016,0.98509,NA
M440.239T1021.299,0.4536,0.97786,0.009724,0.98509,NA
M760.575T1390.36,0.45262,0.97795,0.0096848,0.98509,NA
M1023.55T1219.14,0.44948,0.97823,0.0095593,0.98509,NA
M425.376T1574.185,0.44783,0.97838,0.0094938,0.98509,NA
M603.481T1573.977,0.44762,0.9784,0.0094854,0.98509,NA
M765.518T1313.696,0.44016,0.97906,0.0091911,0.98509,NA
M469.421T1591.154,0.43811,0.97924,0.0091111,0.98509,NA
M247.084T817.469,0.43509,0.9795,0.0089936,0.98509,NA
M490.398T1576.24,0.42551,0.98034,0.0086252,0.98548,NA
M587.498T1557.26,0.42074,0.98074,0.0084445,0.98548,NA
M556.452T1456.652,0.40357,0.98218,0.0078075,0.98649,NA
M420.092T1421.35,0.33913,0.98715,0.0056169,0.99104,NA
M1005.541T1234.319,0.29933,0.98986,0.0044275,0.99333,NA
M589.492T1590.788,0.26163,0.99215,0.0034208,0.9952,NA
M967.56T1352.622,0.21581,0.99458,0.00236,0.99697,NA
M338.341T1608.332,0.21137,0.99479,0.0022669,0.99697,NA
M995.707T1642.868,0.18809,0.99585,0.001808,0.99759,NA
M665.516T1659.646,0.1363,0.99778,0.00096485,0.99909,NA
M826.503T1348.634,0.098784,0.99882,0.00051292,0.99947,NA
M614.483T1523.593,0.072184,0.99936,0.00027623,0.99947,NA
M1005.548T1271.069,0.065905,0.99947,0.00023074,0.99947,NA
