"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"M1071.559T892.477",0.023863,0.0076023,-0.0099444,0.0086534,-0.0049455,-0.030907,0.00046495,-0.024128,-0.012953,-0.0023859,-0.027851,0.0078534,0.0032418,0.022386,-0.011294,-0.005861,0.0066,0.0036366
"M751.392T1268.098",0.019724,-0.0090565,0.020017,0.026965,0.0052879,0.0029719,0.0035455,-0.0033919,0.01211,-0.016853,-0.02121,-0.010672,-0.022672,0.0087493,-0.0084779,0.0053125,0.011698,0.0057366
"M306.171T797.884",0.025268,-0.0079869,0.030857,-0.0036743,-0.028258,-0.011912,-0.009541,-0.00096907,0.020909,0.018858,0.011656,0.0037677,0.00069654,0.010649,0.041042,0.011557,-0.0056543,-0.00034277
"M1000.263T316.358",0.029301,0.035915,-0.023201,-0.014988,0.0071469,-0.034678,0.013661,0.0071624,-0.0032835,0.0015402,-0.0021768,0.00046449,-0.0082926,-0.00079708,0.0042182,0.0069343,-0.0052013,0.00059158
"M699.398T1124.853",0.023064,-5.6457e-05,0.041673,0.013195,0.012385,0.0018339,-0.019508,-0.012992,-0.020866,-0.020133,-0.029242,-0.013047,0.014089,0.011967,-0.0036472,0.0061518,0.0028167,-0.0047442
"M767.194T317.413",0.027129,0.011812,-0.0056448,-0.0056688,0.0099269,-0.014162,0.0097726,-0.0077041,-0.0022528,0.011658,0.005291,0.0023777,-0.013486,-5.2934e-05,0.021078,0.011639,-0.0049279,-0.00024364
"M280.961T95.439",0.021416,-0.0056679,0.012303,0.019284,-0.0044957,0.0045744,-0.006667,-0.021016,-0.0076503,-0.018813,-0.026267,0.0062195,0.0012032,-0.0071633,0.026421,-0.0041446,0.010287,-0.0010888
"M650.407T1378.088",0.028333,0.014131,0.014641,-0.011975,0.0094504,-0.00072207,-0.0087354,-0.0026673,0.0040499,-0.0021217,0.001929,0.0010017,0.0051706,-0.010824,-0.011516,0.0022475,-0.011508,0.00483
"M653.891T318.024",0.026838,0.010233,-0.0077093,-0.00034309,0.0057597,-0.011223,0.014898,0.0061421,-0.0042874,-0.0041118,0.0026522,-0.0010394,-0.0044947,-0.013574,-0.0011634,-0.0039726,-0.028987,0.0014493
"M560.841T1187.938",0.027021,0.0022959,-6.3797e-05,-0.0013974,-0.0068435,-0.009143,0.0023736,-0.0089287,-0.014294,-0.0053347,-0.0098363,-0.020001,0.022664,0.012787,0.010342,-0.0064818,-0.002517,-0.0014276
"M354.957T108.842",0.014609,-0.022661,-0.0068854,0.032956,0.0015077,0.0075122,0.0045472,0.0078402,-0.0071552,-0.016312,0.0061025,-0.00065075,0.011252,-0.016193,0.0089867,0.0048338,-0.0033739,0.0034659
"M590.775T907.789",0.011396,-0.0080869,-0.0093289,0.018738,-0.02521,0.015172,-0.0062255,-0.00066567,-0.064144,0.00037529,-0.013417,-0.014303,0.010883,-0.028554,-0.014024,-0.036647,-0.01122,0.0018916
"M455.14T941.827",0.020647,0.0062798,-0.017961,0.0076559,0.023506,-0.026034,0.0035994,0.027512,0.0058302,-0.011615,-0.032836,-0.00034609,0.025463,-0.011146,-0.0096021,-0.0079393,-8.1583e-05,0.0012438
"M478.858T67.274",0.0094434,-0.034468,-0.015109,0.0069864,-0.011926,-0.022005,-0.0012946,-0.006515,0.023445,0.011536,-0.021559,-0.029704,0.0064393,-0.020197,0.0018228,-0.015204,0.015622,0.0023489
"M991.585T1378.099",0.025106,0.0048753,0.034987,0.00016022,0.021769,-0.0064299,-0.015151,-0.0020527,0.0092309,0.0052393,-0.0029992,-0.00035089,0.010278,-0.0018111,-0.0044752,0.0092692,-0.0017934,0.0026125
"M184.986T90.923",0.02805,-0.015133,0.03966,0.0017925,0.024629,0.012939,0.01539,-0.010312,-0.0057881,-0.015595,0.009856,-0.024566,-0.019387,0.0029625,-0.01468,-0.01765,-0.026266,0.0059872
"M206.082T164.917",0.021771,-0.016928,0.029864,0.022559,-0.027712,0.0038569,0.025773,0.0076403,0.011876,0.027354,-0.0056176,0.014477,0.0013534,0.012477,-0.014515,0.0043628,-0.026429,-0.0012359
