DroVsCon,FocVsCon,XvmVsCon
,M467.156T971.498,
,M551.272T837.928,
,M771.369T883.552,
,M755.7T809.167,
,M524.849T67.744,
,M331.103T255.151,
,M806.073T940.272,
,M1308.932T316.358,
,M455.193T892.238,
,M619.26T816.529,
,M1308.415T315.705,
,M359.123T830.487,
,M481.224T887.168,
,M559.276T958.275,
,M553.051T758.396,
,M705.205T926.435,
,M325.2T1323.486,
,M569.91T66.858,
,M417.177T763.775,
,M503.126T874.193,
,M927.368T972.44,
,M336.86T96.244,
,M1176.528T983.06,
,M385.113T791.317,
,M967.561T1349.704,
,M872.81T67.519,
,M657.266T958.998,
,M851.154T319.552,
,M626.212T761.224,
,M821.506T1329.663,
,M759.826T66.885,
,M863.184T809.21,
,M316.385T321.843,
,M443.193T725.675,
,M654.008T318.692,
,M415.744T872.34,
,M493.23T921.818,
,M562.892T1151.046,
,M969.813T316.499,
,M727.414T1292.189,
,M861.166T878.352,
,M985.784T316.247,
,M427.038T293.27,
,M397.075T138.684,
,M809.433T1339.33,
,M399.092T115.22,
,M340.859T1719.351,
,M1255.613T888.434,
,M613.774T885.363,
,M433.122T384.02,
,M968.4T974.568,
,M318.143T1501.634,
,M808.342T938.944,
,M555.17T790.902,
,M309.119T137.634,
,M434.871T1737.903,
,M609.959T835.516,
,M815.832T67.938,
,M287.077T663.979,
,M392.068T765.784,
,M587.201T848.147,
,M383.058T256.181,
,M413.167T733.785,
,M447.152T782.273,
,M784.154T761.471,
,M971.627T318.415,
,M942.309T937.647,
,M836.522T1479.692,
,M721.31T972.44,
,M333.926T91.902,
,M343.103T489.112,
,M359.098T671.316,
,M633.697T313.008,
,M438.049T766.588,
,M451.007T107.467,
,M765.729T983.05,
,M701.195T940.853,
,M950.342T882.081,
,M698.988T986.183,
,M700.328T66.684,
,M974.806T67.938,
,M334.932T113.331,
,M1095.84T892.791,
,M459.149T771.729,
,M809.324T904.082,
,M287.076T110.312,
,M475.366T1425.395,
,M560.837T67.188,
,M702.25T942.066,
,M280.987T110.997,
,M1057.411T880.24,
,M483.178T941.182,
,M513.235T964.262,
,M517.897T66.885,
,M893.38T934.735,
,M460.969T105.772,
,M735.437T1351.512,
,M241.108T881.116,
,M425.046T798.077,
,M530.968T106.005,
,M309.118T727.508,
,M807.166T938.699,
,M665.182T815.828,
,M1296.442T316.362,
,M613.564T887.981,
,M461.037T823.98,
,M383.433T314.152,
,M545.298T995.647,
,M331.068T223.104,
,M985.574T1225.672,
,M911.26T1004.032,
,M1095.01T894.541,
,M429.387T309.562,
,M527.309T1189.176,
,M559.066T758.189,
,M924.351T839.79,
,M555.158T835.854,
,M747.22T952.211,
,M967.394T924.933,
,M661.253T876.035,
,M377.049T427.197,
,M1297.451T316.098,
,M549.205T845.853,
,M323.019T128.103,
,M353.082T316.368,
,M870.702T1303.064,
,M395.048T106.9,
,M491.126T414.484,
,M485.168T916.74,
,M696.3T853.355,
,M522.878T65.745,
,M850.805T68.208,
,M1296.901T900.549,
,M433.351T780.04,
,M497.261T974.778,
,M643.851T67.124,
,M415.161T821.344,
,M559.04T89.345,
,M758.447T1173.243,
,M206.988T126.118,
,M465.141T849.089,
,M1099.581T1224.487,
,M655.189T778.866,
,M1008.375T923.099,
,M772.809T66.771,
,M1204.491T868.846,
,M890.319T900.562,
,M775.338T1039.594,
,M613.854T887.38,
,M263.13T940.795,
,M455.081T744.378,
,M983.568T1252.43,
,M1071.439T878.893,
,M409.075T744.412,
,M654.601T316.399,
,M289.084T863.831,
,M538.221T942.724,
,M369.569T765.536,
,M771.83T66.444,
,M1333.355T942.499,
,M578.43T1675.044,
,M289.086T1163.856,
,M715.427T310.719,
,M688.854T66.858,
,M699.004T983.059,
,M559.728T1193.65,
,M354.093T750.969,
,M453.099T792.789,
,M447.959T106.92,
,M421.636T753.774,
,M289.886T1868.955,
,M313.275T1417.53,
,M387.346T67.938,
,M851.819T1425.446,
,M418.894T1736.453,
,M656.833T67.115,
,M1048.557T894.929,
,M1331.507T909.803,
,M543.282T933.008,
,M632.993T321.252,
,M466.978T106.664,
,M281.069T746.743,
,M735.222T927.83,
,M1097.549T894.492,
,M310.969T105.491,
,M475.877T67.555,
,M459.959T106.348,
,M806.978T940.468,
,M869.849T1307.413,
,M435.217T805.716,
,M631.877T67.938,
,M269.15T1584.952,
,M861.253T1033.436,
