"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"M534.88T17.56","13402.62","16541.08","16541.08","21379.95","20532.50","33126.37","20916.56","19499.55","22104.11","20467.59","22350.85","22866.39","21434.02","18714.88","25981.13","17618.60","31429.40","20129.35","19241.55"
"M536.9T12.55","13801.49","22413.18","22413.18","15233.56","15034.97","13221.99","11271.71","13630.77","11781.24","12794.03","14872.02","12239.30","14330.86","14187.79","10032.17","11849.82","12218.11","13070.93","12875.20"
"M536.9T17.56"," 6900.825","11331.061","11331.061","13109.210","12470.821","10985.940","10669.211","10750.108","14891.006","10623.435","13771.190","15702.968","12526.720","13678.647","10893.406","12471.421","15053.024","10693.859","13342.117"
"M544.89T18.56","13845.16","18097.88","18097.88","20280.66","24929.47","20178.17","18667.84","23571.15","22124.17","19340.86","23269.60","23187.79","21666.65","18349.84","12748.41","16345.86","20397.01","24632.62","23040.92"
"M544.89T11.54","12132.426"," 9309.846"," 9309.846","11743.124","16433.152","11922.376","10834.406","13075.108","12003.904","10743.999","10743.999","14022.361","10670.035","11728.749"," 9899.748"," 9593.225","12926.092","14453.230","10699.618"
"M549.19T881.43","  1168.481","128359.640","128359.640","173481.168","116269.468","     0.000"," 97279.752","266230.888","125829.773","247451.895"," 89552.591","138886.200","282613.285","304291.966","  1704.992","387953.059","282535.305","190285.950","391741.214"
"M564.89T12.55","45405.56","47680.61","47680.61","45706.71","44836.11","42983.25","44735.81","45421.86","45508.12","41024.55","52083.15","46114.41","44768.80","44724.88","36374.65","41763.20","45912.19","42336.63","41952.44"
"M565.89T17.56"," 5444.639"," 6261.638"," 6261.638"," 7049.084"," 6486.110","11928.858"," 5744.806"," 6637.825"," 7120.820"," 6721.937"," 6994.975"," 8990.892"," 6615.392"," 6124.383"," 6018.667"," 6722.773"," 6016.510"," 7250.738"," 6120.698"
"M569.88T19.56","2780.451","5141.378","5141.378","4499.458","4782.304","3935.979","3885.645","6105.046","4263.931","7322.260","4907.495","5177.331","4237.221","3553.855","2308.424","4535.383","4665.420","3253.013","3102.752"
"M573.47T1437.42"," 17160.98","271111.30","271111.30","321061.52","264162.65"," 33420.40","210617.70","344590.72","422232.30","421945.13","350551.99","301309.84","490763.04","427155.10"," 18244.66","359082.97","531449.77","302680.43","367696.13"
"M575.48T1420.61","     0.000","252221.125","252221.125","280112.464","211791.101","  7407.327","225844.944","272791.121","350204.630","338866.071","357414.302","250895.039","317688.872","350246.618","  2824.787","290936.113","366257.215","292774.021","278416.208"
"M575.48T1555.33"," 10303.69","234417.65","234417.65","141265.64","218185.50"," 41596.77","158354.06","178853.40","253661.65","230138.96","236780.61","224416.11","383216.18","290997.99"," 32673.07","352423.02","326557.67","160677.31","337472.04"
"M579.89T13.55"," 8955.852"," 9951.573"," 9951.573"," 9257.690","11043.095","10423.914"," 9518.623"," 9125.387"," 9703.991"," 9750.216","10079.877","10974.055"," 9618.883"," 9886.479"," 9336.651","10247.030"," 9436.272"," 9964.014"," 7894.757"
"M589.43T1437.43","376092.4","445533.2","445533.2","439667.2","319238.9","358696.6","283982.7","382685.8","417382.2","397106.7","414016.0","326255.7","436438.5","457513.6","305602.5","470315.2","510952.0","454987.1","485311.7"
"M592.89T17.56"," 56345.11"," 84518.79"," 84518.79","102396.27","106645.83"," 81036.30"," 90825.66","100530.41","104610.89"," 68610.18","103730.26"," 93740.38"," 81682.78"," 87567.41"," 60862.99"," 74684.63"," 77361.72"," 97931.01"," 98049.27"
"M593.89T12.55"," 9689.881"," 9572.632"," 9572.632"," 9376.044","11817.346"," 8074.522"," 9170.983"," 9402.122"," 9651.770"," 8031.226"," 8277.799"," 9332.220"," 8832.173","10901.301"," 7449.891"," 7663.329","10082.151"," 9124.617"," 8041.612"
"M603.37T16.56","5607.298","5366.222","5366.222","7502.440","8377.625","6743.485","8172.444","7213.824","8196.849","7638.418","8504.675","7803.340","7989.627","5324.699","7106.579","6813.748","7375.163","6868.882","7386.110"
"M604.89T12.55","30275.98","26812.20","26812.20","39297.54","32441.03","29903.91","30693.81","37698.76","38743.88","33380.78","38649.20","32167.02","30734.03","29158.37","26318.40","29186.42","33015.00","29849.28","29067.60"
"M612.87T18.56"," 9816.992","16236.257","16236.257","13588.644","18274.178","18226.110","16168.360","16108.111","17289.714","16439.829","17969.748","17303.783","16520.427","11851.834","11332.915","13240.823","18754.094","20002.989","14206.723"
