"","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M472.886T66.482","4508.3165","4138.5351","3083.86219","6927.5294","9293.8757","4378.9574","8934.1669","19413.6147","10527.9635","8460.3762","10616.0739","3220.4783","6324.9143","7212.1545","6465.979","1450","3553.6406","14511.5185"
"M367.058T823.98","4987.9948","4588.0012","105.25468","5613.607","5332.2244","4158.3124","5489.5919","5777.0435","5861.5442","526.2734","5970.886","105.25468","4810.715","9020.0022","9008.4041","105.25468","14611.4775","16316.2737"
"M586.884T67.938","10970.9096","6301.3985","267.45072","10135.0856","20843.1021","14362.0255","19073.5751","29112.27","17850.7076","7185.7914","23571.0416","7942.0643","11012.5197","8834.3637","15571.4111","482","9112.4203","47856.744"
"M1162.845T896.125","3453.2543","4940.6615","463.50092","9876.1514","8185.5697","8778.5559","5080.1324","7468.3387","2583.7455","7867.8207","7166.853","463.50092","8635.8766","5864.4016","10558.8952","463.50092","2317.5046","5231.7031"
"M576.861T67.042","4243.0431","4206.976","2144.14593","6180.3204","6193.6239","3250.5121","9151.2025","5561.8716","4684.7596","4899.1355","6437.3531","3083.8381","5562.1806","5236.0261","5726.406","2230","4709.611","12149.0987"
"M868.801T68.637","2142.9922","3317.4665","251.19304","3048.419","11996.3132","4247.9523","13933.3426","24847.6468","7559.3008","3935.2106","11738.2959","1255.9652","3247.7386","4422.2318","2204.1736","251.19304","2023.2293","16826.5023"
"M1131.537T924.362","13478.3144","19809.2095","1986.28472","10832.5023","11713.2888","9931.4236","15296.1879","12951.9035","10108.2611","14225.7111","12267.7398","1986.28472","10843.3264","17770.4296","20216.0146","1986.28472","13888.0826","10006.1195"
"M1193.356T907.422","3291.2271","3092.087","258.50082","2792.406","9102.0161","1292.5041","8987.879","3558.1401","4063.6104","2035.6251","5776.0594","258.50082","4356.6431","3026.4109","4603.631","258.50082","2331.4133","3458.562"
"M182.994T112.283","31131.45","10413.26","2082.652","31110.2179","17666.002","23691.9181","17980.4416","31603.8213","21911.2311","23389.2692","25373.5721","2082.652","19789.8071","23645.2688","24987.3091","2082.652","15200.0669","11327.175"
"M684.885T67.374","1005.4895","2008.83","245.35618","3031.0132","3114.053","9395.1963","16966.894","34279.5444","8572.4056","1513.8103","6668.6048","861.8953","2988.021","3660.6299","1992.2504","49.071236","381.989","6480.3273"
