"",F.stat,p.value,-log10(p),FDR
M1291.08T13.55,1.4178,0.20044,0.69802,0.62289
M1235.76T12.54,1.4177,0.20051,0.69787,0.62289
M1199.44T12.55,1.414,0.20212,0.69438,0.62428
M981.81T12.55,1.4107,0.20362,0.69117,0.62428
M1841.88T13.55,1.4106,0.20367,0.69107,0.62428
M1752.91T13.55,1.4094,0.20418,0.68998,0.62428
M1495.71T13.55,1.4079,0.20485,0.68856,0.62428
M869.82T17.56,1.4069,0.20529,0.68763,0.62428
M772.84T17.56,1.4059,0.20575,0.68667,0.62428
M1298.49T13.55,1.4058,0.20582,0.68652,0.62428
M970.8T18.56,1.4036,0.20679,0.68448,0.62428
M1235.35T12.58,1.4025,0.20728,0.68343,0.62428
M1049.79T17.57,1.4025,0.20729,0.68341,0.62428
M1791.36T13.55,1.4017,0.20766,0.68264,0.62428
M878.83T17.55,1.4008,0.20809,0.68174,0.62428
M1487.43T13.54,1.3978,0.20946,0.6789,0.62672
M637.87T18.56,1.3945,0.21096,0.67581,0.6276
M1298.24T13.55,1.3943,0.21105,0.67562,0.6276
M1825.15T13.55,1.3935,0.21141,0.67488,0.6276
M1263.26T13.6,1.3894,0.21335,0.67091,0.62856
M1287.25T13.55,1.389,0.21352,0.67056,0.62856
M1719.17T13.55,1.388,0.21396,0.66966,0.62856
M1814.65T13.55,1.3867,0.21459,0.66839,0.62856
M392.9T19.57,1.3866,0.21465,0.66828,0.62856
M1094.04T13.55,1.3831,0.21627,0.66499,0.62856
M680.86T18.56,1.3831,0.21628,0.66498,0.62856
M1084.28T17.56,1.3826,0.21651,0.66452,0.62856
M1533.7T13.54,1.3822,0.21671,0.66413,0.62856
M961.31T814.89,1.3791,0.21815,0.66124,0.62872
M985.47T17.56,1.3769,0.21922,0.65911,0.62872
M1210.26T12.61,1.3765,0.21942,0.65873,0.62872
M696.84T19.05,1.3751,0.22007,0.65745,0.62872
M766.83T19.56,1.3751,0.22008,0.65742,0.62872
M1093.44T17.56,1.3742,0.2205,0.6566,0.62872
M1289.74T12.55,1.3726,0.22125,0.65511,0.62872
M1229.42T12.55,1.37,0.22251,0.65264,0.62872
M1634.68T13.55,1.3698,0.22263,0.65241,0.62872
M1973.62T13.55,1.3697,0.22267,0.65234,0.62872
M428.92T17.56,1.3693,0.22284,0.652,0.62872
M1515.2T13.55,1.3655,0.22472,0.64836,0.63129
M981.47T17.4,1.3638,0.22552,0.64682,0.63129
M1003.47T13.55,1.3625,0.22619,0.64553,0.63129
M963.81T12.29,1.3624,0.22623,0.64546,0.63129
M940.15T17.55,1.3606,0.22712,0.64375,0.63129
M1848.4T13.55,1.3597,0.22754,0.64295,0.63129
M672.87T17.56,1.3595,0.22764,0.64275,0.63129
M1073.29T13.55,1.3566,0.22908,0.64002,0.63188
M1345.41T12.6,1.3564,0.22918,0.63981,0.63188
M725.85T17.56,1.3557,0.22952,0.63918,0.63188
M1447.46T13.54,1.3544,0.23015,0.638,0.63206
M1239.26T16.56,1.3509,0.23193,0.63464,0.63544
M1148.78T12.54,1.3477,0.23351,0.6317,0.63747
M667.87T17.56,1.3468,0.23399,0.6308,0.63747
M795.84T12.55,1.3457,0.23453,0.6298,0.63747
M1001.3T17.55,1.3449,0.23492,0.62908,0.63747
M1018.13T17.55,1.3429,0.23595,0.62719,0.63767
M1493.71T16.56,1.3426,0.23611,0.62688,0.63767
M947.82T12.55,1.3398,0.2375,0.62434,0.63883
M706.84T18.57,1.3392,0.23782,0.62375,0.63883
M1281.49T13.55,1.3376,0.23866,0.62223,0.63883
M1956.87T13.55,1.3368,0.23906,0.62149,0.63883
M1207.43T13.55,1.336,0.23947,0.62074,0.63883
M1282.25T13.55,1.3351,0.23991,0.61995,0.63883
M1155.78T12.55,1.333,0.24103,0.61793,0.6391
M1505.38T13.55,1.3325,0.24127,0.6175,0.6391
M1384.72T17.55,1.3317,0.2417,0.61672,0.6391
M1427.4T13.43,1.3303,0.24241,0.61545,0.63942
M909.82T17.56,1.3293,0.24294,0.61449,0.63942
M926.49T14.05,1.3276,0.24383,0.61292,0.63948
M1270.45T14.55,1.3261,0.24458,0.61158,0.63948
M1086.11T17.56,1.326,0.24466,0.61144,0.63948
M1159.44T17.56,1.3219,0.24679,0.60767,0.6431
M1668.68T13.55,1.3202,0.24769,0.60608,0.6431
M902.81T18.56,1.3188,0.24844,0.60478,0.6431
M1149.78T11.55,1.3169,0.24945,0.60302,0.6431
M1044.8T12.55,1.3154,0.25027,0.6016,0.6431
M1163.77T17.56,1.3134,0.25134,0.59974,0.6431
M1265.76T12.55,1.3129,0.25159,0.5993,0.6431
M1333.74T16.56,1.3128,0.25165,0.5992,0.6431
M980.13T17.56,1.3126,0.25173,0.59907,0.6431
M1549.7T13.55,1.3119,0.25212,0.59839,0.6431
M1421.72T17.55,1.3113,0.25247,0.59779,0.6431
M1515.45T13.55,1.3098,0.25325,0.59646,0.6431
M865.33T17.56,1.3087,0.25387,0.59539,0.6431
M1141.78T12.55,1.3078,0.25434,0.59458,0.6431
M604.89T12.55,1.3074,0.25452,0.59427,0.6431
M1939.63T13.55,1.3017,0.25762,0.58902,0.64948
M1348.4T17.55,1.2995,0.25887,0.58691,0.65119
M1616.44T13.55,1.2958,0.2609,0.58352,0.65165
M1322.74T13.55,1.2952,0.26121,0.58301,0.65165
M740.86T12.55,1.295,0.26136,0.58277,0.65165
M933.32T17.56,1.2943,0.26172,0.58216,0.65165
M766.84T11.54,1.2931,0.26241,0.58103,0.65165
M1447.22T13.55,1.2929,0.26249,0.58088,0.65165
M802.84T12.55,1.2888,0.26479,0.5771,0.65398
M1027.79T17.56,1.2887,0.26482,0.57705,0.65398
M964.31T17.56,1.2873,0.26561,0.57575,0.65398
M1103.45T17.56,1.2871,0.26574,0.57555,0.65398
M1038.79T17.56,1.2861,0.26631,0.57462,0.65398
M1717.34T13.55,1.2847,0.26708,0.57335,0.65447
M1912.63T13.54,1.2828,0.26812,0.57167,0.6556
M1234.76T12.54,1.2789,0.27037,0.56804,0.65969
M1024.13T17.48,1.2775,0.27117,0.56676,0.66022
M1343.06T12.55,1.275,0.27256,0.56453,0.66219
M1580.69T13.55,1.2715,0.27461,0.56128,0.66368
